,Ranking,Country,Crime Index,2021 Population
1,1,Venezuela,83.76,"28,704,954"
2,2,Papua New Guinea,80.79,"9,119,010"
3,3,South Africa,76.86,"60,041,994"
4,4,Afghanistan,76.31,"39,835,428"
5,5,Honduras,74.54,"10,062,991"
6,6,Trinidad And Tobago,71.63,"1,403,375"
7,7,Guyana,68.74,"790,326"
8,8,El Salvador,67.79,"6,518,499"
9,9,Brazil,67.49,"213,993,437"
10,10,Jamaica,67.42,"2,973,463"
11,11,Syria,67.18,"18,275,702"
12,12,Peru,66.72,"33,359,418"
13,13,Angola,66.48,"33,933,610"
14,14,Cameroon,65.24,"27,224,265"
15,15,Namibia,65.21,"2,587,344"
16,16,Nigeria,64.06,"211,400,708"
17,17,Bangladesh,63.9,"166,303,498"
18,18,Argentina,63.82,"45,605,826"
19,19,Puerto Rico,62.84,"2,828,255"
20,20,Bahamas,62.06,"396,913"
21,21,Libya,61.78,"6,958,532"
22,22,Dominican Republic,61.02,"10,953,703"
23,23,Kenya,60.14,"54,985,698"
24,24,Belarus,59.58,"9,442,862"
25,25,Zimbabwe,59.3,"15,092,171"
26,26,Guatemala,58.67,"18,249,860"
27,27,Bolivia,57.77,"11,832,940"
28,28,Fiji,57.62,"902,906"
29,29,Malaysia,57.29,"32,776,194"
30,30,Kyrgyzstan,56.87,"6,628,356"
31,31,Colombia,56.87,"51,265,844"
32,32,Uganda,56.12,"47,123,531"
33,33,Somalia,56.04,"16,359,504"
34,34,Mongolia,56.01,"3,329,289"
35,35,Tanzania,56,"61,498,437"
36,36,Maldives,55.34,"543,617"
37,37,Ecuador,55.23,"17,888,475"
38,38,Costa Rica,54.22,"5,139,052"
39,39,Mexico,54.19,"130,262,216"
40,40,Kazakhstan,53.77,"18,994,962"
41,41,Chile,53.42,"19,212,361"
42,42,Botswana,52.98,"2,397,241"
43,43,Algeria,52.03,"44,616,624"
44,44,France,51.99,"65,426,179"
45,45,Uruguay,51.73,"3,485,151"
46,46,Cambodia,51.13,"16,946,438"
47,47,Belize,50.39,"404,914"
48,48,Iran,49.38,"85,028,759"
49,49,Paraguay,49.37,"7,219,638"
50,50,Ethiopia,49.3,"117,876,227"
51,51,Mauritius,48.88,"1,273,433"
52,52,Morocco,48.66,"37,344,795"
53,53,Iraq,48.42,"41,179,350"
54,54,Sweden,48,"10,160,169"
55,55,Nicaragua,47.89,"6,702,385"
